DATE,Series,Values
2011 Mar,unemp_rate,-3.157894736842115
2011 Mar,emp_rate,-3.529411764705892
2011 Mar,index,1.765059026746818
2011 Apr,avg_weekly_earnings,0.5557761016276253
2011 Apr,CPI_index,0.6439429535457064
2011 Apr,unemp_rate,-5.434782608695654
2011 Apr,emp_rate,-6.0975609756097615
2011 Apr,index,-1.9168556794343483
2011 May,avg_weekly_earnings,1.5664200298001862
2011 May,CPI_index,0.4704187527233561
2011 May,unemp_rate,0
2011 May,emp_rate,0
2011 May,index,0.7763636304417787
2011 Jun,avg_weekly_earnings,-1.899615061502391
2011 Jun,CPI_index,-0.10709670566992902
2011 Jun,unemp_rate,6.896551724137945
2011 Jun,emp_rate,7.792207792207817
2011 Jun,index,3.019800913556847
2011 Jul,avg_weekly_earnings,0.864030266622362
2011 Jul,CPI_index,0.08860456667936223
2011 Jul,unemp_rate,0
2011 Jul,emp_rate,0
2011 Jul,index,-1.089440127327912
2011 Aug,avg_weekly_earnings,-0.39283270395620296
2011 Aug,CPI_index,0.27575889023645495
2011 Aug,unemp_rate,-2.1505376344086113
2011 Aug,emp_rate,-2.4096385542168752
2011 Aug,index,2.5603344282885354
2011 Sep,avg_weekly_earnings,0.5826675487252686
2011 Sep,CPI_index,0.15184621156945077
2011 Sep,unemp_rate,-3.296703296703285
2011 Sep,emp_rate,-3.703703703703687
2011 Sep,index,-1.099302112218703
2011 Oct,avg_weekly_earnings,2.5574865295590943
2011 Oct,CPI_index,-0.20626826333582926
2011 Oct,unemp_rate,-3.409090909090917
2011 Oct,emp_rate,-3.8461538461538547
2011 Oct,index,-0.24421360716944118
2011 Nov,avg_weekly_earnings,-2.070692121750295
2011 Nov,CPI_index,-0.08435613304419443
2011 Nov,unemp_rate,-3.529411764705892
2011 Nov,emp_rate,-4.000000000000014
2011 Nov,index,-0.6799970325882421
2011 Dec,avg_weekly_earnings,0.5503431773817846
2011 Dec,CPI_index,-0.24665163771382392
2011 Dec,unemp_rate,1.2195121951219745
2011 Dec,emp_rate,1.3888888888889062
2011 Dec,index,0.9306142201135126
2012 Jan,avg_weekly_earnings,1.7609779314145424
2012 Jan,CPI_index,0.44001914282676413
2012 Jan,unemp_rate,6.024096385542177
2012 Jan,emp_rate,6.849315068493156
2012 Jan,index,0.42495265274895555
2012 Feb,avg_weekly_earnings,-1.5015754233950407
2012 Feb,CPI_index,0.4402973551276279
2012 Feb,unemp_rate,-1.1363636363636576
2012 Feb,emp_rate,-1.2820512820512997
2012 Feb,index,0.24608761175657357
2012 Mar,avg_weekly_earnings,-0.04248513020441713
2012 Mar,CPI_index,0.7594558623930991
2012 Mar,unemp_rate,-3.44827586206895
2012 Mar,emp_rate,-3.8961038961038863
2012 Mar,index,0.0918363015336654
2012 Apr,avg_weekly_earnings,2.1214091056829254
2012 Apr,CPI_index,0.30210295040804525
2012 Apr,unemp_rate,-8.333333333333337
2012 Apr,emp_rate,-9.459459459459463
2012 Apr,index,-0.8757302924479848
2012 May,avg_weekly_earnings,-2.3711302346647756
2012 May,CPI_index,-0.11734793663211729
2012 May,unemp_rate,2.5974025974025983
2012 May,emp_rate,2.9850746268656803
2012 May,index,0.8108361943919729
2012 Jun,avg_weekly_earnings,0.3260024575569842
2012 Jun,CPI_index,-0.14663968844504938
2012 Jun,unemp_rate,6.329113924050622
2012 Jun,emp_rate,7.246376811594213
2012 Jun,index,2.542234276013411
2012 Jul,avg_weekly_earnings,1.8271802434574047
2012 Jul,CPI_index,-0.16297858618254946
2012 Jul,unemp_rate,2.3809523809523725
2012 Jul,emp_rate,2.7027027027026973
2012 Jul,index,-1.4729471764053814
2012 Aug,avg_weekly_earnings,-1.5084196573224018
2012 Aug,CPI_index,0.5565158181437102
2012 Aug,unemp_rate,-4.651162790697683
2012 Aug,emp_rate,-5.263157894736848
2012 Aug,index,1.687793542675875
2012 Sep,avg_weekly_earnings,2.60445873365982
2012 Sep,CPI_index,0.4462212267611232
2012 Sep,unemp_rate,-7.317073170731703
2012 Sep,emp_rate,-8.333333333333325
2012 Sep,index,-1.0264176341914788
2012 Oct,avg_weekly_earnings,-2.062256336762336
2012 Oct,CPI_index,-0.038892514055322014
2012 Oct,unemp_rate,-1.3157894736842035
2012 Oct,emp_rate,-1.5151515151515138
2012 Oct,index,-0.8673574306674037
2012 Nov,avg_weekly_earnings,0.2976227383772123
2012 Nov,CPI_index,-0.473808669488196
2012 Nov,unemp_rate,-1.3333333333333308
2012 Nov,emp_rate,-1.538461538461533
2012 Nov,index,-0.06582636217438154
2012 Dec,avg_weekly_earnings,2.5766886336379136
2012 Dec,CPI_index,-0.2693064490207231
2012 Dec,unemp_rate,2.7027027027026973
2012 Dec,emp_rate,3.124999999999978
2012 Dec,index,0.4872920762115651
2013 Jan,avg_weekly_earnings,-2.1756686715764806
2013 Jan,CPI_index,0.2957304192926058
2013 Jan,unemp_rate,11.842105263157897
2013 Jan,emp_rate,13.636363636363647
2013 Jan,index,0.08518471174741027
2013 Feb,avg_weekly_earnings,0.7146553636117048
2013 Feb,CPI_index,0.8190029529268728
2013 Feb,unemp_rate,-4.705882352941182
2013 Feb,emp_rate,-5.333333333333334
2013 Feb,index,0.29283504375154923
2013 Mar,avg_weekly_earnings,-0.0012234211749673207
2013 Mar,CPI_index,0.26145085843749527
2013 Mar,unemp_rate,-6.172839506172845
2013 Mar,emp_rate,-7.042253521126762
2013 Mar,index,0.6631186237614273
2013 Apr,avg_weekly_earnings,0.37804176810991574
2013 Apr,CPI_index,-0.10396394770870732
2013 Apr,unemp_rate,-6.578947368421051
2013 Apr,emp_rate,-7.57575757575758
2013 Apr,index,-0.9632794006171563
2013 May,avg_weekly_earnings,-0.5435974940886878
2013 May,CPI_index,0.17804077735872337
2013 May,unemp_rate,2.8169014084507005
2013 May,emp_rate,3.2786885245901676
2013 May,index,0.2175634730447129
2013 Jun,avg_weekly_earnings,2.30514705882352
2013 Jun,CPI_index,0.2399708085599528
2013 Jun,unemp_rate,6.849315068493156
2013 Jun,emp_rate,7.9365079365079305
2013 Jun,index,2.734186198753119
2013 Jul,avg_weekly_earnings,-1.9273846743570244
2013 Jul,CPI_index,0.03939975332329926
2013 Jul,unemp_rate,-1.2820512820512775
2013 Jul,emp_rate,-1.4705882352941124
2013 Jul,index,-1.836908491049205
2013 Aug,avg_weekly_earnings,0.2491694352159346
2013 Aug,CPI_index,0.12029315570472043
2013 Aug,unemp_rate,-5.1948051948051965
2013 Aug,emp_rate,-5.97014925373135
2013 Aug,index,2.6747192368865136
2013 Sep,avg_weekly_earnings,2.7316146011014064
2013 Sep,CPI_index,0.11630044852635191
2013 Sep,unemp_rate,-4.109589041095885
2013 Sep,emp_rate,-4.761904761904756
2013 Sep,index,-0.5701883098594429
2013 Oct,avg_weekly_earnings,-1.9212979434996003
2013 Oct,CPI_index,-0.2575283259804717
2013 Oct,unemp_rate,0
2013 Oct,emp_rate,0
2013 Oct,index,-1.12423538919878
2013 Nov,avg_weekly_earnings,0.2902125807153766
2013 Nov,CPI_index,-0.2042424190523473
2013 Nov,unemp_rate,-5.714285714285716
2013 Nov,emp_rate,-6.666666666666677
2013 Nov,index,-0.254729729052916
2013 Dec,avg_weekly_earnings,1.6675106706214304
2013 Dec,CPI_index,-0.00858114978825597
2013 Dec,unemp_rate,-1.5151515151515138
2013 Dec,emp_rate,-1.7857142857142794
2013 Dec,index,0.24523735400745483
2014 Jan,avg_weekly_earnings,-1.856002656514999
2014 Jan,CPI_index,0.3720247673236088
2014 Jan,unemp_rate,7.692307692307687
2014 Jan,emp_rate,9.090909090909083
2014 Jan,index,-0.07052610066800025
2014 Feb,avg_weekly_earnings,2.173860505582681
2014 Feb,CPI_index,0.3697908650968751
2014 Feb,unemp_rate,0
2014 Feb,emp_rate,0
2014 Feb,index,0.6315738821142336
2014 Mar,avg_weekly_earnings,0.5026314233339324
2014 Mar,CPI_index,0.6440044126228228
2014 Mar,unemp_rate,-2.857142857142858
2014 Mar,emp_rate,-3.3333333333333326
2014 Mar,index,1.4620325799356015
2014 Apr,avg_weekly_earnings,-1.2285243586726224
2014 Apr,CPI_index,0.3296754453157691
2014 Apr,unemp_rate,-13.235294117647056
2014 Apr,emp_rate,-15.517241379310331
2014 Apr,index,-1.397076439099676
2014 May,avg_weekly_earnings,-0.4098360655737765
2014 May,CPI_index,0.34926098400485106
2014 May,unemp_rate,3.3898305084745672
2014 May,emp_rate,4.081632653061207
2014 May,index,0.8620320536118831
2014 Jun,avg_weekly_earnings,1.9547325102880597
2014 Jun,CPI_index,0.18621269440941557
2014 Jun,unemp_rate,3.2786885245901676
2014 Jun,emp_rate,3.9215686274509887
2014 Jun,index,2.816236751070167
2014 Jul,avg_weekly_earnings,-1.6321310398235256
2014 Jul,CPI_index,-0.03901939641608454
2014 Jul,unemp_rate,3.1746031746031855
2014 Jul,emp_rate,3.7735849056603765
2014 Jul,index,-1.6965004157712738
2014 Aug,avg_weekly_earnings,0.3721595992127291
2014 Aug,CPI_index,-0.1670514165792225
2014 Aug,unemp_rate,-3.076923076923077
2014 Aug,emp_rate,-3.6363636363636376
2014 Aug,index,2.375338210730926
2014 Sep,avg_weekly_earnings,0.40880839483283804
2014 Sep,CPI_index,0.07525688243108508
2014 Sep,unemp_rate,-9.523809523809524
2014 Sep,emp_rate,-11.32075471698113
2014 Sep,index,-0.8213050812527323
2014 Oct,avg_weekly_earnings,0.12190647524590315
2014 Oct,CPI_index,-0.251227781255392
2014 Oct,unemp_rate,-3.508771929824561
2014 Oct,emp_rate,-4.255319148936176
2014 Oct,index,-1.0068495786354714
2014 Nov,avg_weekly_earnings,2.231836773293616
2014 Nov,CPI_index,-0.5399417941061246
2014 Nov,unemp_rate,0
2014 Nov,emp_rate,0
2014 Nov,index,0.1873638259537902
2014 Dec,avg_weekly_earnings,-1.6593048264378685
2014 Dec,CPI_index,-0.5670100910010967
2014 Dec,unemp_rate,-1.8181818181818077
2014 Dec,emp_rate,-2.2222222222222143
2014 Dec,index,-0.11203346066024356
2015 Jan,avg_weekly_earnings,0.00940656342962587
2015 Jan,CPI_index,-0.4705892373473297
2015 Jan,unemp_rate,12.962962962962955
2015 Jan,emp_rate,15.909090909090896
2015 Jan,index,-0.5616695491397761
2015 Feb,avg_weekly_earnings,1.9022985127270742
2015 Feb,CPI_index,0.43430449237722435
2015 Feb,unemp_rate,-4.91803278688524
2015 Feb,emp_rate,-5.882352941176472
2015 Feb,index,-0.4169909658467863
2015 Mar,avg_weekly_earnings,0.2492125575438653
2015 Mar,CPI_index,0.595172161109736
2015 Mar,unemp_rate,-3.4482758620689724
2015 Mar,emp_rate,-4.166666666666674
2015 Mar,index,-0.042462095470074956
2015 Apr,avg_weekly_earnings,-1.2602285674826463
2015 Apr,CPI_index,0.2032873254587786
2015 Apr,unemp_rate,-8.92857142857143
2015 Apr,emp_rate,-10.869565217391308
2015 Apr,index,-2.2320219758657944
2015 May,avg_weekly_earnings,-0.24127561367928152
2015 May,CPI_index,0.5097232025494725
2015 May,unemp_rate,3.9215686274509887
2015 May,emp_rate,4.878048780487809
2015 May,index,0.21022548815965436
2015 Jun,avg_weekly_earnings,-0.19278628763713668
2015 Jun,CPI_index,0.3502869998528224
2015 Jun,unemp_rate,3.7735849056603765
2015 Jun,emp_rate,4.651162790697683
2015 Jun,index,2.414974705700934
2015 Jul,avg_weekly_earnings,0.2832993842335707
2015 Jul,CPI_index,0.0067047159295619
2015 Jul,unemp_rate,1.8181818181818077
2015 Jul,emp_rate,2.2222222222222143
2015 Jul,index,-1.1865919799444846
2015 Aug,avg_weekly_earnings,2.598524467687713
2015 Aug,CPI_index,-0.14162762828194841
2015 Aug,unemp_rate,-7.142857142857128
2015 Aug,emp_rate,-8.695652173913038
2015 Aug,index,2.215757575757582
2015 Sep,avg_weekly_earnings,-2.2391625896006295
2015 Sep,CPI_index,-0.15567565753034085
2015 Sep,unemp_rate,-5.769230769230771
2015 Sep,emp_rate,-7.14285714285714
2015 Sep,index,-2.1619177981409776
2015 Oct,avg_weekly_earnings,0.9438793324177741
2015 Oct,CPI_index,-0.044968375044651676
2015 Oct,unemp_rate,-2.0408163265306256
2015 Oct,emp_rate,-2.564102564102577
2015 Oct,index,-0.9577662674324916
2015 Nov,avg_weekly_earnings,1.79285854288449
2015 Nov,CPI_index,-0.21106803790814643
2015 Nov,unemp_rate,0
2015 Nov,emp_rate,0
2015 Nov,index,-1.3127806554412813
2015 Dec,avg_weekly_earnings,-1.5268213120695928
2015 Dec,CPI_index,-0.34170964371187385
2015 Dec,unemp_rate,0
2015 Dec,emp_rate,0
2015 Dec,index,-0.6442182324692403
2016 Jan,avg_weekly_earnings,0.31055900621117516
2016 Jan,CPI_index,0.16531022090686687
2016 Jan,unemp_rate,10.416666666666675
2016 Jan,emp_rate,13.157894736842103
2016 Jan,index,0.9232806928171078
2016 Feb,avg_weekly_earnings,-0.37037037037037646
2016 Feb,CPI_index,0.0823076533454925
2016 Feb,unemp_rate,-1.8867924528301772
2016 Feb,emp_rate,-2.3255813953488302
2016 Feb,index,-0.5430250706164874
2016 Mar,avg_weekly_earnings,0.3326159264331885
2016 Mar,CPI_index,0.4306000143392774
2016 Mar,unemp_rate,-1.9230769230769384
2016 Mar,emp_rate,-2.3809523809523947
2016 Mar,index,-0.8910019762825683
2016 Apr,avg_weekly_earnings,0.6859686152151934
2016 Apr,CPI_index,0.4741067979104008
2016 Apr,unemp_rate,-7.843137254901955
2016 Apr,emp_rate,-9.756097560975597
